"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Min_Playing_Time","Mn_per_MP_Playing_Time","Min_percent_Playing_Time","Mins_Per_90_Playing_Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team_Success","onG_Team_Success","onGA_Team_Success","Plus_Minus_Team_Success","Plus_Minus90_Team_Success","On_minus_Off_Team_Success","onxG_Team_Success_xG_","onxGA_Team_Success_xG","xGPlus_Minus_Team_Success_xG","xGPlus_Minus90_Team_Success_xG","On_minus_Off_Team_Success_xG","PlayerURL","MP_Playing_Time"
"334",NA,"2023 Athletico Paranaense","Série A","Chiqueti","BRA","MF","17",NA,15,15,0.4,0.2,0,NA,0,1,15,9,0,0,0,0,0,-0.21,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c1aaf0bf/Chiqueti",1
"335",NA,"2023 Athletico Paranaense","Série A","Danielzinho","BRA","FW","20",NA,1,1,0,0,0,NA,0,1,1,8,1,0,0,0,0,-0.21,0,0.1,-0.1,-9.09,-9.21,"https://fbref.com/en/players/10ef655f/Danielzinho",1
"336",NA,"2023 Athletico Paranaense","Série A","Dudu","BRA","MF","17",NA,1,1,0,0,0,NA,0,1,1,3,3,0,0,0,0,-0.21,0,0.1,-0.1,-10.4,-10.52,"https://fbref.com/en/players/630a919d/Dudu",1
"337",NA,"2023 Athletico Paranaense","Série A","Bryan García","ECU","MF","22",NA,1,1,0,0,0,NA,0,1,1,1,3,0,0,0,0,-0.21,0,0,0,-2.47,-2.59,"https://fbref.com/en/players/7b66d351/Bryan-Garcia",1
"338",NA,"2023 Athletico Paranaense","Série A","Marcos André","BRA","DF","16",NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/133ef8d6/Marcos-Andre",0
"339",NA,"2023 Athletico Paranaense","Série A","Ataíde","BRA","MF","19",NA,NA,NA,NA,NA,0,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e0bfc51b/Ataide",0
"340",NA,"2023 Athletico Paranaense","Série A","Derik","BRA","DF","17",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/23bc4ec7/Derik",0
"341",NA,"2023 Athletico Paranaense","Série A","Emersonn","BRA","FW","18",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ac24342e/Emersonn",0
"342",NA,"2023 Athletico Paranaense","Série A","Julimar","BRA","FW","22",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5fca1c6c/Julimar",0
"343",NA,"2023 Athletico Paranaense","Série A","João Machado Cruz","BRA","MF","16",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/6e3b3445/Joao-Machado-Cruz",0
"344",NA,"2023 Athletico Paranaense","Série A","Mycael","BRA","GK","18",NA,NA,NA,NA,NA,0,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c02aa247/Mycael",0
"345",NA,"2023 Athletico Paranaense","Série A","Gabriel Pereira","BRA","GK","20",NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e031439d/Gabriel-Pereira",0
"346",NA,"2023 Athletico Paranaense","Série A","João Vitor","BRA","DF","19",NA,NA,NA,NA,NA,0,NA,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/693b7d14/Joao-Vitor",0
"347",NA,"2023 Athletico Paranaense","Série A","Arthur Zanella","BRA","DF","18",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/bc16aada/Arthur-Zanella",0
"348",NA,"2023 Internacional","Série A","Fabricio Bustos","ARG","DF","26",NA,2499,86,73.1,27.8,28,88,24,1,45,4,1.48,36,30,6,0.22,0.7,32.5,33,-0.4,-0.02,0.42,"https://fbref.com/en/players/82549f54/Fabricio-Bustos",29
"349",NA,"2023 Internacional","Série A","Alan Patrick","BRA","MF,FW","31",NA,2452,72,71.7,27.2,28,83,15,6,23,1,1.44,39,33,6,0.22,0.69,31.3,34.3,-3,-0.11,0.07,"https://fbref.com/en/players/00672021/Alan-Patrick",34
"350",NA,"2023 Internacional","Série A","Wanderson","BRA","FW,MF","28",NA,2336,73,68.3,26,26,82,9,6,36,2,1.41,33,26,7,0.27,0.77,29.4,28.5,0.9,0.03,0.52,"https://fbref.com/en/players/5da33b33/Wanderson",32
"351",NA,"2023 Internacional","Série A","Gabriel Mercado","ARG","DF","35",NA,2180,84,63.7,24.2,25,85,22,1,45,3,1.62,30,25,5,0.21,0.5,27.5,28.5,-1,-0.04,0.24,"https://fbref.com/en/players/bf97c188/Gabriel-Mercado",26
"352",NA,"2023 Internacional","Série A","Vitão","BRA","DF","22",NA,2041,79,59.7,22.7,25,80,19,1,30,2,1.31,27,29,-2,-0.09,-0.28,25.1,29.3,-4.2,-0.18,-0.13,"https://fbref.com/en/players/d4f034db/Vitao",26
"353",NA,"2023 Internacional","Série A","Renê","BRA","DF","30",NA,2283,82,66.8,25.4,24,88,22,4,42,2,1.75,36,22,14,0.55,1.58,29.7,28.9,0.9,0.03,0.49,"https://fbref.com/en/players/d000ffc7/Rene",28
"354",NA,"2023 Internacional","Série A","Mauricio","BRA","FW,MF","21",NA,1766,68,51.6,19.6,22,75,5,4,32,1,1.46,30,24,6,0.31,0.58,22.1,24.5,-2.4,-0.12,0.01,"https://fbref.com/en/players/bf4cbc22/Mauricio",26
"355",NA,"2023 Internacional","Série A","Johnny Cardoso","USA","MF","21",NA,1607,73,47,17.9,20,79,9,2,18,1,1.87,27,18,9,0.5,0.9,22.3,19.8,2.6,0.14,0.52,"https://fbref.com/en/players/7426f085/Johnny-Cardoso",22
"356",NA,"2023 Internacional","Série A","Sergio Rochet","URU","GK","29",NA,1710,90,50,19,19,90,19,0,NA,0,1.53,31,25,6,0.32,0.58,24.5,20.9,3.6,0.19,0.64,"https://fbref.com/en/players/81b99b9e/Sergio-Rochet",19
"357",NA,"2023 Internacional","Série A","Enner Valencia","ECU","FW","33",NA,1442,66,42.2,16,18,76,6,4,18,1,1.41,25,20,5,0.31,0.49,19.3,17.6,1.7,0.11,0.41,"https://fbref.com/en/players/fb485406/Enner-Valencia",22
"358",NA,"2023 Internacional","Série A","Luiz Adriano","BRA","FW","35",NA,1330,46,38.9,14.8,17,68,3,12,15,6,1.28,11,20,-9,-0.61,-1.04,13,18.7,-5.6,-0.38,-0.41,"https://fbref.com/en/players/2557c196/Luiz-Adriano",29
"359",NA,"2023 Internacional","Série A","Carlos de Pena","URU","MF,FW","30",NA,1425,53,41.7,15.8,16,75,8,11,21,5,1.22,11,20,-9,-0.57,-1.02,14.3,21.1,-6.8,-0.43,-0.52,"https://fbref.com/en/players/6b915aa1/Carlos-de-Pena",27
"360",NA,"2023 Internacional","Série A","Charles Aránguiz","CHI","MF","33",NA,1267,58,37,14.1,16,69,1,6,28,1,1.32,25,15,10,0.71,1.09,19.1,12.5,6.6,0.47,0.95,"https://fbref.com/en/players/56413b1f/Charles-Aranguiz",22
"361",NA,"2023 Internacional","Série A","Igor Gomes","BRA","DF","21",NA,1465,61,42.8,16.3,14,86,12,10,27,13,1.71,20,24,-4,-0.25,-0.48,17.3,21.4,-4.1,-0.25,-0.22,"https://fbref.com/en/players/509d5b3d/Igor-Gomes",24
"362",NA,"2023 Internacional","Série A","Pedro Henrique","BRA","FW,MF","32",NA,1271,49,37.2,14.1,14,75,3,12,19,2,1.46,16,20,-4,-0.28,-0.49,16.6,19,-2.4,-0.17,-0.06,"https://fbref.com/en/players/460976a2/Pedro-Henrique",26
"363",NA,"2023 Internacional","Série A","Nicolás Hernández","COL","DF","25",NA,1295,56,37.9,14.4,12,85,10,11,25,10,1.35,18,19,-1,-0.07,-0.15,16.4,19.3,-2.9,-0.2,-0.12,"https://fbref.com/en/players/86046c18/Nicolas-Hernandez",23
"364",NA,"2023 Internacional","Série A","Romulo","BRA","MF,DF","22",NA,1216,61,35.6,13.5,12,81,6,8,30,11,1.6,13,13,0,0,-0.04,12.1,18.1,-5.9,-0.44,-0.48,"https://fbref.com/en/players/395e0e95/Romulo",20
"365",NA,"2023 Internacional","Série A","Bruno Henrique","BRA","MF","33",NA,1050,53,30.7,11.7,10,79,3,10,26,1,1.45,14,16,-2,-0.17,-0.29,13.4,14.8,-1.4,-0.12,0.02,"https://fbref.com/en/players/5a43b021/Bruno-Henrique",20
"366",NA,"2023 Internacional","Série A","Keiller","BRA","GK","26",NA,900,90,26.3,10,10,90,10,0,NA,24,0.73,9,19,-10,-1,-1.39,8.4,15.5,-7,-0.7,-0.78,"https://fbref.com/en/players/e38fde76/Keiller",10
"367",NA,"2023 Internacional","Série A","John","BRA","GK","26",NA,810,90,23.7,9,9,90,9,0,NA,8,2,9,5,4,0.44,0.55,9.3,10.7,-1.5,-0.16,-0.04,"https://fbref.com/en/players/33a235af/John",9
"368",NA,"2023 Internacional","Série A","Gabriel","BRA","MF","30",NA,765,51,22.4,8.5,9,78,6,6,11,8,1.33,3,13,-10,-1.18,-1.55,7.8,10.6,-2.8,-0.34,-0.26,"https://fbref.com/en/players/e9c0d5d8/Gabriel",15
"369",NA,"2023 Internacional","Série A","Gustavo Campanharo","BRA","MF","30",NA,695,46,20.3,7.7,8,66,1,7,24,14,1.8,8,8,0,0,-0.03,7.5,9.6,-2.2,-0.28,-0.19,"https://fbref.com/en/players/96f2d977/Gustavo-Campanharo",15
"370",NA,"2023 Internacional","Série A","Dalbert Henrique","BRA","DF","29",NA,497,55,14.5,5.5,7,68,2,2,10,4,0.89,4,9,-5,-0.91,-1.09,5.2,6.8,-1.6,-0.29,-0.19,"https://fbref.com/en/players/f45f9427/Dalbert-Henrique",9
"371",NA,"2023 Internacional","Série A","Matheus Dias","BRA","MF,FW","25",NA,405,29,11.8,4.5,6,51,0,8,13,10,1.21,2,4,-2,-0.44,-0.53,4.2,4.2,0,0,0.15,"https://fbref.com/en/players/ddfa9005/Matheus-Dias",14
"372",NA,"2023 Internacional","Série A","Rodrigo Moledo","BRA","DF","35",NA,478,68,14,5.3,5,84,4,2,29,4,1.43,5,6,-1,-0.19,-0.25,5.6,7.7,-2.1,-0.4,-0.31,"https://fbref.com/en/players/ce536c37/Rodrigo-Moledo",7
"373",NA,"2023 Internacional","Série A","Lucca Holanda","BRA","FW","19",NA,550,29,16.1,6.1,4,77,1,15,16,17,1.26,5,7,-2,-0.33,-0.42,7.1,8.6,-1.5,-0.25,-0.14,"https://fbref.com/en/players/c3604b27/Lucca-Holanda",19
"374",NA,"2023 Internacional","Série A","Alexandre Alemão","BRA","FW","24",NA,340,38,9.9,3.8,3,66,1,6,24,3,1.56,3,3,0,0,-0.03,4.3,5.1,-0.9,-0.23,-0.11,"https://fbref.com/en/players/3ed2a79b/Alexandre-Alemao",9
"375",NA,"2023 Internacional","Série A","Thauan Lara","BRA","DF,MF","19",NA,336,34,9.8,3.7,3,75,2,7,16,19,1.6,1,8,-7,-1.87,-2.11,2.5,7.3,-4.8,-1.29,-1.29,"https://fbref.com/en/players/c4dba1f3/Thauan-Lara",10
"376",NA,"2023 Internacional","Série A","Hugo Mallo","ESP","DF","31",NA,325,54,9.5,3.6,3,80,2,3,28,0,0.83,2,3,-1,-0.28,-0.34,2.5,4.5,-2,-0.55,-0.46,"https://fbref.com/en/players/cb574619/Hugo-Mallo",6
"377",NA,"2023 Internacional","Série A","Gabriel Baralhas","BRA","MF","24",NA,236,47,6.9,2.6,2,85,1,3,22,7,0.8,2,4,-2,-0.76,-0.85,2.7,3.6,-1,-0.36,-0.25,"https://fbref.com/en/players/b7838aad/Gabriel-Baralhas",5
"378",NA,"2023 Internacional","Série A","Gabriel Barros","BRA","FW,MF","21",NA,177,35,5.2,2,2,66,0,3,15,26,1.2,4,3,1,0.51,0.51,2.4,2.6,-0.2,-0.09,0.04,"https://fbref.com/en/players/b43515ea/Gabriel-Barros",5
"379",NA,"2023 Internacional","Série A","Jean Dias","BRA","FW,MF","32",NA,321,32,9.4,3.6,1,78,0,9,27,12,1.8,4,1,3,0.84,0.9,4.1,5,-0.9,-0.24,-0.12,"https://fbref.com/en/players/bda67c3c/Jean-Dias",10
"380",NA,"2023 Internacional","Série A","João Dalla Corte","BRA","DF","16",NA,20,20,0.6,0.2,0,NA,0,1,20,6,0,2,1,1,4.5,4.5,1.4,1,0.4,1.58,1.72,"https://fbref.com/en/players/45a29731/Joao-Dalla-Corte",1
"381",NA,"2023 Internacional","Série A","Estevão","BRA","MF","20",NA,11,11,0.3,0.1,0,NA,0,1,11,9,0,0,1,-1,-8.18,-8.23,0.2,0.9,-0.8,-6.26,-6.15,"https://fbref.com/en/players/149f4681/Estevao",1
"382",NA,"2023 Internacional","Série A","Lucas Ramos","BRA","FW","22",NA,1,1,0,0,0,NA,0,1,1,6,3,0,0,0,0,-0.03,0,0,0,3.4,3.53,"https://fbref.com/en/players/c0163100/Lucas-Ramos",1
"383",NA,"2023 Internacional","Série A","Anthoni","BRA","GK","21",NA,NA,NA,NA,NA,0,NA,0,0,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a0b17b31/Anthoni",0
"384",NA,"2023 Internacional","Série A","Felipe","BRA","DF","19",NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/426f7ba3/Felipe",0
"385",NA,"2023 Internacional","Série A","Emerson Júnior","BRA","GK","22",NA,NA,NA,NA,NA,0,NA,0,0,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/c2b4632d/Emerson-Junior",0
"386",NA,"2023 Internacional","Série A","Vinicius Rangel","BRA","DF","18",NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/632ce02a/Vinicius-Rangel",0
"387",NA,"2023 Fortaleza","Série A","João Ricardo Riedi","BRA","GK","34",NA,2868,90,83.9,31.9,32,90,31,0,NA,1,1.38,35,39,-4,-0.13,-0.94,38.4,36.8,1.7,0.05,-0.9,"https://fbref.com/en/players/4729d71a/Joao-Ricardo-Riedi",32
"388",NA,"2023 Fortaleza","Série A","Titi","BRA","DF","34",NA,2846,89,83.2,31.6,32,89,28,0,NA,1,1.52,40,34,6,0.19,0.97,43.3,35,8.3,0.26,0.38,"https://fbref.com/en/players/ea41ddf7/Titi",32
"389",NA,"2023 Fortaleza","Série A","Caio Alexandre","BRA","MF","23",NA,2624,77,76.7,29.2,32,81,15,2,21,3,1.47,38,31,7,0.24,0.92,40.3,32.8,7.5,0.26,0.26,"https://fbref.com/en/players/08ac23b7/Caio-Alexandre",34
"390",NA,"2023 Fortaleza","Série A","Emanuel Brítez","ARG","DF","30",NA,2761,89,80.7,30.7,31,89,30,0,NA,3,1.48,39,34,5,0.16,0.71,44.7,32.6,12.1,0.39,1.02,"https://fbref.com/en/players/fb29d05d/Emanuel-Britez",31
"391",NA,"2023 Fortaleza","Série A","Bruno Pacheco","BRA","DF","31",NA,2669,86,78,29.7,30,89,25,1,14,4,1.52,37,34,3,0.1,0.34,41.5,33.2,8.3,0.28,0.38,"https://fbref.com/en/players/9b7976e6/Bruno-Pacheco",31
"392",NA,"2023 Fortaleza","Série A","Guilherme Tinga","BRA","DF","29",NA,2583,83,75.5,28.7,29,89,27,2,8,3,1.52,39,33,6,0.21,0.75,40.7,33.2,7.5,0.26,0.26,"https://fbref.com/en/players/a8331ab0/Guilherme-Tinga",31
