"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"180",NA,"2023 Botafogo (RJ)","Série A","Philipe Sampaio","BRA","DF","28",12,4,498,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0,0.2,4,15,0,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03,"https://fbref.com/en/players/72733d93/Philipe-Sampaio",NA
"181",NA,"2023 Botafogo (RJ)","Série A","Gustavo Sauer","BRA","FW,MF","29",6,4,258,2.9,2,1,3,2,0,0,0,0,0.2,0.2,0.4,0.7,5,13,18,0.7,0.35,1.05,0.7,1.05,0.09,0.15,0.24,0.09,0.24,"https://fbref.com/en/players/fd53959e/Gustavo-Sauer",NA
"182",NA,"2023 Botafogo (RJ)","Série A","Diego Costa","ESP","FW","34",13,3,517,5.7,3,0,3,3,0,0,6,0,1.9,1.9,0.1,2,9,14,42,0.52,0,0.52,0.52,0.52,0.33,0.02,0.35,0.33,0.35,"https://fbref.com/en/players/a190d597/Diego-Costa",NA
"183",NA,"2023 Botafogo (RJ)","Série A","Matias Segovia","PAR","FW","20",21,2,651,7.2,0,1,1,0,0,0,2,0,0.9,0.9,1.5,2.4,43,33,74,0,0.14,0.14,0,0.14,0.12,0.21,0.33,0.12,0.33,"https://fbref.com/en/players/afc545ff/Matias-Segovia",NA
"184",NA,"2023 Botafogo (RJ)","Série A","Janderson","BRA","FW,MF","23",18,2,414,4.6,1,1,2,1,0,0,2,0,1.7,1.7,0.9,2.7,16,7,31,0.22,0.22,0.43,0.22,0.43,0.37,0.2,0.58,0.37,0.58,"https://fbref.com/en/players/8b89c34e/Janderson",NA
"185",NA,"2023 Botafogo (RJ)","Série A","JP Galvão","BRA","DF","21",4,2,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/55b2c39b/JP-Galvao",NA
"186",NA,"2023 Botafogo (RJ)","Série A","Bastos","ANG","DF","31",4,2,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,"https://fbref.com/en/players/c01c66d9/Bastos",NA
"187",NA,"2023 Botafogo (RJ)","Série A","Carlos Alberto","BRA","FW,MF","20",15,1,296,3.3,2,0,2,2,0,0,0,0,1.1,1.1,0.2,1.4,10,8,27,0.61,0,0.61,0.61,0.61,0.35,0.07,0.42,0.35,0.42,"https://fbref.com/en/players/08f48d96/Carlos-Alberto",NA
"188",NA,"2023 Botafogo (RJ)","Série A","Matheus Nascimento","BRA","FW,MF","18",5,1,98,1.1,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,1,2,4,0.92,0,0.92,0.92,0.92,0.77,0.37,1.14,0.77,1.14,"https://fbref.com/en/players/e744c3de/Matheus-Nascimento",NA
"189",NA,"2023 Botafogo (RJ)","Série A","Luis Segovia","ECU","DF","25",2,1,95,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1ae14406/Luis-Segovia",NA
