"","Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP_Playing_Time"
"213",NA,"2023 Bragantino","Série A","Jadsom","BRA","MF","21",31,22,1896,21.1,1,0,1,1,0,0,8,0,1.2,1.2,1,2.2,16,136,51,0.05,0,0.05,0.05,0.05,0.06,0.05,0.11,0.06,0.11,"https://fbref.com/en/players/92859e80/Jadsom",NA
"214",NA,"2023 Bragantino","Série A","Helinho","BRA","FW","22",24,20,1384,15.4,3,2,5,3,0,0,8,0,3.2,3.2,3.9,7.1,54,73,168,0.2,0.13,0.33,0.2,0.33,0.21,0.25,0.46,0.21,0.46,"https://fbref.com/en/players/5837cb60/Helinho",NA
"215",NA,"2023 Bragantino","Série A","Leonardo Realpe","ECU","DF","21",21,19,1680,18.7,0,0,0,0,0,0,3,1,0.5,0.5,0.1,0.7,15,77,3,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,"https://fbref.com/en/players/57701cbd/Leonardo-Realpe",NA
"216",NA,"2023 Bragantino","Série A","Leo Ortiz","BRA","DF","27",20,19,1603,17.8,2,0,2,2,0,0,3,0,1.9,1.9,0.6,2.5,28,142,2,0.11,0,0.11,0.11,0.11,0.11,0.03,0.14,0.11,0.14,"https://fbref.com/en/players/53834fa2/Leo-Ortiz",NA
"217",NA,"2023 Bragantino","Série A","José Hurtado","ECU","DF","21",25,17,1618,18,0,0,0,0,0,0,3,0,0.3,0.3,1.1,1.4,57,86,79,0,0,0,0,0,0.01,0.06,0.08,0.01,0.08,"https://fbref.com/en/players/cb067e96/Jose-Hurtado",NA
"218",NA,"2023 Bragantino","Série A","Aderlan Silva","BRA","DF","32",22,17,1421,15.8,0,2,2,0,0,0,6,1,0.4,0.4,1.2,1.6,23,84,41,0,0.13,0.13,0,0.13,0.02,0.08,0.1,0.02,0.1,"https://fbref.com/en/players/48371573/Aderlan-Silva",NA
"219",NA,"2023 Bragantino","Série A","Eric Ramires","BRA","MF","22",23,17,1376,15.3,3,3,6,3,0,0,1,1,2.5,2.5,1.6,4.1,22,80,50,0.2,0.2,0.39,0.2,0.39,0.16,0.11,0.27,0.16,0.27,"https://fbref.com/en/players/37faa4cb/Eric-Ramires",NA
"220",NA,"2023 Bragantino","Série A","Luan Patrick","BRA","DF","21",14,12,1113,12.4,0,1,1,0,0,0,3,0,0.6,0.6,1.2,1.7,6,42,1,0,0.08,0.08,0,0.08,0.05,0.09,0.14,0.05,0.14,"https://fbref.com/en/players/dd5d1c85/Luan-Patrick",NA
"221",NA,"2023 Bragantino","Série A","Luan Cândido","BRA","DF","21",22,11,1082,12,1,1,2,1,0,0,3,0,1.8,1.8,1.2,2.9,19,55,42,0.08,0.08,0.17,0.08,0.17,0.15,0.1,0.24,0.15,0.24,"https://fbref.com/en/players/ca151606/Luan-Candido",NA
"222",NA,"2023 Bragantino","Série A","Eduardo Santos","BRA","DF","25",13,11,1020,11.3,1,0,1,1,0,0,2,0,0.9,0.9,0,1,11,38,2,0.09,0,0.09,0.09,0.09,0.08,0,0.09,0.08,0.09,"https://fbref.com/en/players/d226094c/Eduardo-Santos",NA
"223",NA,"2023 Bragantino","Série A","Thiago Borbas","URU","FW","20",33,10,1428,15.9,9,2,11,9,0,0,7,1,9.2,9.2,1.1,10.4,12,25,119,0.57,0.13,0.69,0.57,0.69,0.58,0.07,0.65,0.58,0.65,"https://fbref.com/en/players/04f9c45f/Thiago-Borbas",NA
"224",NA,"2023 Bragantino","Série A","Henery Mosquera","COL","FW,MF","21",21,10,1061,11.8,2,2,4,2,0,0,1,0,1.9,1.9,2.6,4.5,71,31,161,0.17,0.17,0.34,0.17,0.34,0.16,0.22,0.38,0.16,0.38,"https://fbref.com/en/players/be206004/Henery-Mosquera",NA
"225",NA,"2023 Bragantino","Série A","Natan","BRA","DF","21",10,9,836,9.3,0,0,0,0,0,0,1,0,0.3,0.3,0,0.3,7,34,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,"https://fbref.com/en/players/94bccc82/Natan",NA
"226",NA,"2023 Bragantino","Série A","Bruno","BRA","FW,MF","19",16,9,715,7.9,2,1,3,2,0,0,0,0,2.7,2.7,0.6,3.3,19,36,68,0.25,0.13,0.38,0.25,0.38,0.34,0.07,0.41,0.34,0.41,"https://fbref.com/en/players/ad8c3404/Bruno",NA
"227",NA,"2023 Bragantino","Série A","Marcos Vinicios Sorriso","BRA","FW,DF","21",23,8,938,10.4,2,0,2,2,0,0,2,0,3.1,3.1,1.2,4.3,40,34,128,0.19,0,0.19,0.19,0.19,0.29,0.12,0.41,0.29,0.41,"https://fbref.com/en/players/e816a8ee/Marcos-Vinicios-Sorriso",NA
"228",NA,"2023 Bragantino","Série A","Lucão","BRA","GK","21",5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ebb5a0df/Lucao",NA
"229",NA,"2023 Bragantino","Série A","Gustavinho","BRA","MF,FW","18",19,4,666,7.4,1,0,1,1,0,0,2,0,0.6,0.6,0.4,0.9,15,37,26,0.14,0,0.14,0.14,0.14,0.08,0.05,0.13,0.08,0.13,"https://fbref.com/en/players/9525ddcd/Gustavinho",NA
"230",NA,"2023 Bragantino","Série A","Matheus Gonçalves","BRA","FW,MF","17",12,4,462,5.1,0,1,1,0,0,0,3,0,0.9,0.9,0.9,1.8,33,22,36,0,0.19,0.19,0,0.19,0.18,0.17,0.36,0.18,0.36,"https://fbref.com/en/players/071a6836/Matheus-Goncalves",NA
"231",NA,"2023 Bragantino","Série A","Alerrandro","BRA","FW,MF","23",14,2,405,4.5,1,0,1,1,0,0,3,1,3.1,3.1,0.2,3.2,3,9,20,0.22,0,0.22,0.22,0.22,0.68,0.03,0.71,0.68,0.71,"https://fbref.com/en/players/3415a44d/Alerrandro",NA
"232",NA,"2023 Bragantino","Série A","Lucão","BRA","DF","24",3,2,201,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"https://fbref.com/en/players/4089ddd0/Lucao",NA
"233",NA,"2023 Bragantino","Série A","Guilherme","BRA","DF,MF","20",9,1,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,11,9,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,"https://fbref.com/en/players/54974698/Guilherme",NA
"234",NA,"2023 Bragantino","Série A","Ignacio Laquintana","URU","FW","23",4,1,183,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,6,2,23,0,0,0,0,0,0.08,0.01,0.08,0.08,0.08,"https://fbref.com/en/players/2517fe3c/Ignacio-Laquintana",NA
"235",NA,"2023 Bragantino","Série A","Talisson","BRA","FW","20",7,1,151,1.7,3,0,3,3,0,0,0,0,1.3,1.3,0,1.3,9,5,11,1.79,0,1.79,1.79,1.79,0.78,0,0.78,0.78,0.78,"https://fbref.com/en/players/9178a2f1/Talisson",NA
"236",NA,"2023 Bragantino","Série A","Raul","BRA","MF,DF","26",3,1,107,1.2,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04,"https://fbref.com/en/players/c2f9cf65/Raul",NA
"237",NA,"2023 Bragantino","Série A","Yani Quintero","COL","MF","20",3,1,101,1.1,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/a23ce55f/Yani-Quintero",NA
"238",NA,"2023 Bragantino","Série A","Cipriano","BRA","DF","20",1,1,75,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/f1a1c9e2/Cipriano",NA
"239",NA,"2023 Bragantino","Série A","Lucas Cunha","BRA","DF","26",1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.02,0.02,0,0.02,"https://fbref.com/en/players/0b8748ac/Lucas-Cunha",NA
"240",NA,"2023 Bragantino","Série A","Nathan Camargo","BRA","MF","17",1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0.44,0.44,0,0.44,"https://fbref.com/en/players/2c79da44/Nathan-Camargo",NA
"241",NA,"2023 Bragantino","Série A","Bruno Praxedes","BRA","MF","20",1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/5dd520a8/Bruno-Praxedes",NA
"242",NA,"2023 Bragantino","Série A","Gabriel Caetano","BRA","MF","20",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/55c86c3b/Gabriel-Caetano",NA
"243",NA,"2023 Bragantino","Série A","Everton","BRA","FW","20",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2da19a96/Everton",NA
"244",NA,"2023 Bragantino","Série A","Fabrício","BRA","GK","22",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2b137c0c/Fabricio",NA
"245",NA,"2023 Bragantino","Série A","Gustavo Henrique","BRA","DF","17",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/7fa96457/Gustavo-Henrique",NA
"246",NA,"2023 Bragantino","Série A","Jhonny","BRA","DF","20",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/08083004/Jhonny",NA
"247",NA,"2023 Bragantino","Série A","Marcelinho","BRA","FW","18",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/61234a52/Marcelinho",NA
"248",NA,"2023 Bragantino","Série A","Maycon","BRA","GK","24",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/55b226f8/Maycon",NA
"249",NA,"2023 Bragantino","Série A","Werik","BRA","FW","21",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8b20ba5f/Werik",NA
"250",NA,"2023 Fluminense","Série A","Fábio","BRA","GK","42",NA,35,3150,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/15825726/Fabio",35
"251",NA,"2023 Fluminense","Série A","André","BRA","MF,DF","21",NA,29,2649,29.4,0,0,0,0,0,0,11,1,0.4,0.4,0.6,0.9,58,184,14,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,"https://fbref.com/en/players/ec604e2c/Andre",31
"252",NA,"2023 Fluminense","Série A","Germán Cano","ARG","FW","34",NA,28,2465,27.4,10,1,11,10,0,1,8,0,10,9.2,1.1,10.3,18,25,87,0.37,0.04,0.4,0.37,0.4,0.37,0.04,0.4,0.34,0.38,"https://fbref.com/en/players/9ccf4e14/German-Cano",30
"253",NA,"2023 Fluminense","Série A","Lima","BRA","MF,FW","26",NA,26,2532,28.1,6,2,8,6,0,0,8,0,3,3,1.5,4.5,78,121,146,0.21,0.07,0.28,0.21,0.28,0.11,0.05,0.16,0.11,0.16,"https://fbref.com/en/players/d215c7de/Lima",35
"254",NA,"2023 Fluminense","Série A","Jhon Arias","COL","FW,MF","25",NA,26,2385,26.5,7,7,14,5,2,2,5,1,5.8,4.2,4.7,8.9,142,108,300,0.26,0.26,0.53,0.19,0.45,0.22,0.18,0.4,0.16,0.34,"https://fbref.com/en/players/86d96066/Jhon-Arias",29
"255",NA,"2023 Fluminense","Série A","Nino","BRA","DF","25",NA,26,2155,23.9,2,0,2,2,0,0,5,2,1.2,1.2,0.5,1.7,42,108,5,0.08,0,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,"https://fbref.com/en/players/d4fa2207/Nino",26
"256",NA,"2023 Fluminense","Série A","Samuel Xavier","BRA","DF","32",NA,25,2108,23.4,1,2,3,1,0,0,7,0,0.9,0.9,2.9,3.8,42,91,62,0.04,0.09,0.13,0.04,0.13,0.04,0.12,0.16,0.04,0.16,"https://fbref.com/en/players/0c870df5/Samuel-Xavier",25
"257",NA,"2023 Fluminense","Série A","Ganso","BRA","MF","33",NA,20,1734,19.3,3,7,10,3,0,0,5,0,2.3,2.3,3.5,5.8,17,143,75,0.16,0.36,0.52,0.16,0.52,0.12,0.18,0.3,0.12,0.3,"https://fbref.com/en/players/23593121/Ganso",27
"258",NA,"2023 Fluminense","Série A","Matheus Martinelli","BRA","MF,DF","21",NA,19,1882,20.9,2,2,4,2,0,0,5,1,1.2,1.2,1.4,2.6,38,105,28,0.1,0.1,0.19,0.1,0.19,0.06,0.07,0.13,0.06,0.13,"https://fbref.com/en/players/2b124c8c/Matheus-Martinelli",28
"259",NA,"2023 Fluminense","Série A","Keno","BRA","FW,MF","33",NA,18,1613,17.9,2,4,6,1,1,1,5,0,2.8,2,3.7,5.7,84,53,219,0.11,0.22,0.33,0.06,0.28,0.15,0.21,0.36,0.11,0.32,"https://fbref.com/en/players/98558c11/Keno",24
"260",NA,"2023 Fluminense","Série A","Marcelo","BRA","DF","34",NA,18,1325,14.7,1,1,2,1,0,0,4,0,1.4,1.4,3.7,5.1,44,151,50,0.07,0.07,0.14,0.07,0.14,0.09,0.25,0.35,0.09,0.35,"https://fbref.com/en/players/603116a7/Marcelo",19
"261",NA,"2023 Fluminense","Série A","Felipe Melo","BRA","DF","39",NA,18,986,11,2,0,2,2,0,0,10,1,0.4,0.4,0.1,0.4,15,47,0,0.18,0,0.18,0.18,0.18,0.03,0.01,0.04,0.03,0.04,"https://fbref.com/en/players/b14d84d3/Felipe-Melo",19
"262",NA,"2023 Fluminense","Série A","Guga","BRA","DF","24",NA,16,1508,16.8,1,3,4,1,0,0,4,0,0.8,0.8,2.1,2.9,31,73,93,0.06,0.18,0.24,0.06,0.24,0.05,0.13,0.17,0.05,0.17,"https://fbref.com/en/players/6975a3e1/Guga",22
"263",NA,"2023 Fluminense","Série A","John Kennedy","BRA","FW,MF","20",NA,13,1372,15.2,6,1,7,6,0,0,10,0,6.3,6.3,2.1,8.4,32,30,117,0.39,0.07,0.46,0.39,0.46,0.41,0.14,0.55,0.41,0.55,"https://fbref.com/en/players/132880e0/John-Kennedy",26
"264",NA,"2023 Fluminense","Série A","Alexsander","BRA","MF,DF","19",NA,13,1194,13.3,0,1,1,0,0,0,3,0,0.3,0.3,1.4,1.7,38,53,53,0,0.08,0.08,0,0.08,0.02,0.11,0.13,0.02,0.13,"https://fbref.com/en/players/b13e7a78/Alexsander",19
"265",NA,"2023 Fluminense","Série A","Marlon","BRA","DF","27",NA,13,935,10.4,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,13,47,5,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,"https://fbref.com/en/players/cdf65d12/Marlon",15
"266",NA,"2023 Fluminense","Série A","Diogo Barbosa","BRA","DF","30",NA,10,1117,12.4,1,2,3,1,0,0,1,0,0.3,0.3,1.3,1.6,35,51,68,0.08,0.16,0.24,0.08,0.24,0.02,0.1,0.13,0.02,0.13,"https://fbref.com/en/players/7b9ef26b/Diogo-Barbosa",19
"267",NA,"2023 Fluminense","Série A","David Braz","BRA","DF","35",NA,10,865,9.6,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,16,31,2,0,0,0,0,0,0.08,0.01,0.08,0.08,0.08,"https://fbref.com/en/players/9313b408/David-Braz",18
"268",NA,"2023 Fluminense","Série A","Thiago dos Santos","BRA","DF,MF","33",NA,9,819,9.1,0,0,0,0,0,0,7,1,0.2,0.2,0.1,0.3,10,50,3,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04,"https://fbref.com/en/players/5408d2b2/Thiago-dos-Santos",16
"269",NA,"2023 Fluminense","Série A","Lelê","BRA","FW,MF","25",NA,8,1144,12.7,2,2,4,2,0,0,5,1,6,6,1.2,7.2,22,11,72,0.16,0.16,0.31,0.16,0.31,0.47,0.1,0.57,0.47,0.57,"https://fbref.com/en/players/467aed9b/Lele",29
"270",NA,"2023 Fluminense","Série A","Leonardo Fernández","URU","MF,FW","24",NA,8,658,7.3,1,0,1,1,0,1,2,0,1.5,0.7,1,1.7,25,45,69,0.14,0,0.14,0.14,0.14,0.2,0.14,0.35,0.1,0.24,"https://fbref.com/en/players/a757be87/Leonardo-Fernandez",18
"271",NA,"2023 Fluminense","Série A","Danielzinho","BRA","MF","27",NA,8,612,6.8,0,0,0,0,0,0,1,0,0.4,0.4,1.3,1.6,19,65,21,0,0,0,0,0,0.05,0.18,0.24,0.05,0.24,"https://fbref.com/en/players/832ab167/Danielzinho",12
"272",NA,"2023 Fluminense","Série A","Yony González","COL","FW,MF","28",NA,6,575,6.4,1,1,2,1,0,0,1,0,2.1,2.1,0.7,2.8,3,4,47,0.16,0.16,0.31,0.16,0.31,0.32,0.11,0.43,0.32,0.43,"https://fbref.com/en/players/c6c88c7d/Yony-Gonzalez",18
"273",NA,"2023 Fluminense","Série A","Gabriel Pirani","BRA","MF,FW","20",NA,6,396,4.4,1,0,1,1,0,0,1,0,1.6,1.6,0,1.6,13,6,25,0.23,0,0.23,0.23,0.23,0.37,0,0.37,0.37,0.37,"https://fbref.com/en/players/17205abf/Gabriel-Pirani",9
"274",NA,"2023 Fluminense","Série A","Manoel","BRA","DF","32",NA,2,289,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/12748e35/Manoel",6
"275",NA,"2023 Fluminense","Série A","Pedro Rangel","BRA","GK","22",NA,2,180,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/06dc2861/Pedro-Rangel",2
"276",NA,"2023 Fluminense","Série A","Felipe Vieira","","DF","",NA,1,203,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,3,8,3,0,0,0,0,0,0.08,0.02,0.1,0.08,0.1,"https://fbref.com/en/players/4cf81576/Felipe-Vieira",7
"277",NA,"2023 Fluminense","Série A","Vitor Mendes","BRA","DF","23",NA,1,108,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.09,0.02,0.11,0.09,0.11,"https://fbref.com/en/players/3cdbeab9/Vitor-Mendes",2
"278",NA,"2023 Fluminense","Série A","Giovanni","BRA","MF,DF","21",NA,1,96,1.1,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,3,2,7,0,0,0,0,0,0.09,0.33,0.41,0.09,0.41,"https://fbref.com/en/players/ca91dace/Giovanni",5
"279",NA,"2023 Fluminense","Série A","Vitor Eudes","BRA","GK","24",NA,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b7a95ab2/Vitor-Eudes",1
"280",NA,"2023 Fluminense","Série A","Justen","BRA","DF","19",NA,1,54,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8bbf8b33/Justen",1
"281",NA,"2023 Fluminense","Série A","Alan Carvalho","CHN","MF","33",NA,1,45,0.5,1,0,1,1,0,0,0,0,0.6,0.6,0,0.6,0,0,1,2,0,2,2,2,1.27,0,1.27,1.27,1.27,"https://fbref.com/en/players/ebb2d232/Alan-Carvalho",1
"282",NA,"2023 Fluminense","Série A","Isaac","BRA","MF,DF","18",NA,0,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,1,24,0,0,0,0,0,0.18,0.16,0.34,0.18,0.34,"https://fbref.com/en/players/e43ddd61/Isaac",7
"283",NA,"2023 Fluminense","Série A","João Neto","BRA","MF,DF","19",NA,0,52,0.6,1,0,1,1,0,0,0,0,0.4,0.4,0,0.4,0,2,12,1.73,0,1.73,1.73,1.73,0.72,0,0.72,0.72,0.72,"https://fbref.com/en/players/57130d7b/Joao-Neto",3
"284",NA,"2023 Fluminense","Série A","Arthur","BRA","DF,FW","18",NA,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,2,0,0,0,0,0,0,2.44,2.44,0,2.44,"https://fbref.com/en/players/0339468c/Arthur",2
"285",NA,"2023 Fluminense","Série A","Alexandre Jesus","BRA","DF","21",NA,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.2,0,0.2,0.2,0.2,"https://fbref.com/en/players/25a323f3/Alexandre-Jesus",1
"286",NA,"2023 Fluminense","Série A","Rafael Monteiro","BRA","MF","18",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/377fe96b/Rafael-Monteiro",1
"287",NA,"2023 Fluminense","Série A","Agner","BRA","FW","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b1fedba4/Agner",0
"288",NA,"2023 Fluminense","Série A","Kayky Almeida","BRA","DF","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/4a8d8800/Kayky-Almeida",0
"289",NA,"2023 Fluminense","Série A","Julio Cesar","BRA","DF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/94325798/Julio-Cesar",0
"290",NA,"2023 Fluminense","Série A","Gustavo Dohmann","BRA","MF","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/58c653b7/Gustavo-Dohmann",0
"291",NA,"2023 Fluminense","Série A","Matheus dos Reis","BRA","FW","15",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b3e08bce/Matheus-dos-Reis",0
"292",NA,"2023 Fluminense","Série A","Edinho","BRA","MF","21",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/8115e664/Edinho",0
"293",NA,"2023 Fluminense","Série A","Kauã Elias","BRA","FW","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a80b9f76/Kaua-Elias",0
"294",NA,"2023 Fluminense","Série A","Esquerdinha","BRA","DF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a0a77831/Esquerdinha",0
"295",NA,"2023 Fluminense","Série A","Luan Freitas","BRA","DF","22",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b2dfa423/Luan-Freitas",0
"296",NA,"2023 Fluminense","Série A","Gustavo","BRA","GK","20",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0e2b5b7d/Gustavo",0
"297",NA,"2023 Fluminense","Série A","Thiago","BRA","MF","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e45edecd/Thiago",0
"298",NA,"2023 Athletico Paranaense","Série A","Bento","BRA","GK","23",NA,33,2970,33,0,1,1,0,0,0,3,0,0,0,0.3,0.3,0,0,0,0,0.03,0.03,0,0.03,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/5d699228/Bento",33
"299",NA,"2023 Athletico Paranaense","Série A","Thiago Heleno","BRA","DF","34",NA,31,2779,30.9,0,0,0,0,0,0,9,0,0.8,0.8,0.4,1.2,2,87,2,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,"https://fbref.com/en/players/827422f9/Thiago-Heleno",32
"300",NA,"2023 Athletico Paranaense","Série A","Erick","BRA","MF","25",NA,30,2499,27.8,4,4,8,4,0,0,7,0,5.4,5.4,3,8.4,27,124,37,0.14,0.14,0.29,0.14,0.29,0.19,0.11,0.3,0.19,0.3,"https://fbref.com/en/players/8a826636/Erick",33
"301",NA,"2023 Athletico Paranaense","Série A","Vitor Bueno","BRA","MF,FW","28",NA,25,2075,23.1,5,5,10,2,3,3,7,0,5.3,3.1,6.9,9.9,74,149,114,0.22,0.22,0.43,0.09,0.3,0.23,0.3,0.53,0.13,0.43,"https://fbref.com/en/players/5752f96d/Vitor-Bueno",32
"302",NA,"2023 Athletico Paranaense","Série A","Fernandinho","BRA","MF","37",NA,23,1935,21.5,1,3,4,0,1,1,11,1,1.2,0.4,2,2.4,35,192,52,0.05,0.14,0.19,0,0.14,0.06,0.09,0.15,0.02,0.11,"https://fbref.com/en/players/101da2b5/Fernandinho",25
"303",NA,"2023 Athletico Paranaense","Série A","Agustín Canobbio","URU","FW,MF","24",NA,22,2116,23.5,3,5,8,3,0,0,10,0,5.5,5.5,3.5,9,81,75,223,0.13,0.21,0.34,0.13,0.34,0.23,0.15,0.38,0.23,0.38,"https://fbref.com/en/players/4f5a2f38/Agustin-Canobbio",29
"304",NA,"2023 Athletico Paranaense","Série A","Tomás Cuello","ARG","MF,FW","22",NA,22,2055,22.8,0,4,4,0,0,0,5,0,1.5,1.5,4.7,6.2,81,71,173,0,0.18,0.18,0,0.18,0.07,0.2,0.27,0.07,0.27,"https://fbref.com/en/players/5c8615dd/Tomas-Cuello",32
