"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","PlayerURL"
"653",NA,"2023 Goiás","Série A","Lucas Emmanuel","BRA","FW","22",0.6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/08d236fc/Lucas-Emmanuel"
"654",NA,"2023 Goiás","Série A","Mina","BRA","DF","19",0.5,0,2,0,0,4,0,0,NA,8.5,0,0,0,0.2,0.2,0.1,-0.2,-0.2,"https://fbref.com/en/players/85064762/Mina"
"655",NA,"2023 Goiás","Série A","Simioni","BRA","MF","19",0.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/12f1e5e8/Simioni"
"656",NA,"2023 Goiás","Série A","Fellipe Bastos","BRA","MF","32",0.4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/9b99eae0/Fellipe-Bastos"
"657",NA,"2023 Goiás","Série A","Halerrandrio dos Santos","BRA","MF","16",0.3,0,2,0,0,6.21,0,0,NA,22.3,0,0,0,0,0,0.01,0,0,"https://fbref.com/en/players/7bfa8ce5/Halerrandrio-dos-Santos"
"658",NA,"2023 Goiás","Série A","Denzel","BRA","FW","20",0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/bbcdf171/Denzel"
"659",NA,"2023 Goiás","Série A","Jhonny Lucas","BRA","MF","22",0.2,0,2,0,0,10.59,0,0,NA,16.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,"https://fbref.com/en/players/a800ccee/Jhonny-Lucas"
"660",NA,"2023 Coritiba","","Gabriel","BRA","GK","30",30.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/f93ed0df/Gabriel"
"661",NA,"2023 Coritiba","","Robson","BRA","MF,FW","31",26.1,12,35,14,40,1.34,0.54,0.14,0.36,19.6,0,7,8,10.6,4.2,0.12,1.4,0.8,"https://fbref.com/en/players/e29eff7a/Robson"
"662",NA,"2023 Coritiba","","Natanael","BRA","DF","21",27.8,0,17,8,47.1,0.61,0.29,0,0,21.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,"https://fbref.com/en/players/0b618504/Natanael"
