"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","PlayerURL"
"25",NA,"2023 Palmeiras","Série A","Kevin","BRA","FW,DF","20",2.6,124,1,17,48,62,12,124,22,10,45.5,9,40.9,84,731,405,14,13,4,7,6,84,22,"https://fbref.com/en/players/93508980/Kevin"
"26",NA,"2023 Palmeiras","Série A","Jailson Siqueira","BRA","MF,DF","27",1.8,76,3,17,39,22,5,76,1,0,0,1,100,37,131,51,0,0,0,1,1,44,3,"https://fbref.com/en/players/b4819112/Jailson-Siqueira"
"27",NA,"2023 Palmeiras","Série A","Rafael Navarro","BRA","FW","22",1.4,57,1,3,24,33,6,57,4,3,75,1,25,33,218,77,2,3,1,8,3,39,8,"https://fbref.com/en/players/4b5ab509/Rafael-Navarro"
"28",NA,"2023 Palmeiras","Série A","Bruno Tabata","BRA","MF,FW","25",1.4,89,0,7,44,39,4,89,9,4,44.4,4,44.4,53,366,182,6,7,0,3,1,66,19,"https://fbref.com/en/players/33fdf90d/Bruno-Tabata"
"29",NA,"2023 Palmeiras","Série A","Ian Custódio","BRA","DF","19",0.2,9,1,3,4,2,0,9,0,0,NA,0,NA,5,24,21,1,0,0,1,0,4,0,"https://fbref.com/en/players/4d92291e/Ian-Custodio"
"30",NA,"2023 Palmeiras","Série A","Giovani","BRA","FW","19",0.2,17,0,4,3,10,4,17,2,0,0,1,50,11,189,105,6,4,1,1,0,10,5,"https://fbref.com/en/players/a199bd5f/Giovani"
"31",NA,"2023 Palmeiras","Série A","Estevão","BRA","FW","16",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2eda11b1/Estevao"
"32",NA,"2023 Palmeiras","Série A","Eduard Atuesta","COL","MF","25",0.1,2,0,0,2,0,0,2,0,0,NA,0,NA,1,10,9,0,0,0,0,0,2,0,"https://fbref.com/en/players/60990b81/Eduard-Atuesta"
"33",NA,"2023 Palmeiras","Série A","Kauan Santos","BRA","FW","18",0,2,0,0,1,1,1,2,0,0,NA,0,NA,1,17,17,1,0,1,0,0,1,0,"https://fbref.com/en/players/472b3ddb/Kauan-Santos"
"34",NA,"2023 Grêmio","","Luis Suárez","URU","FW","36",32,1433,9,33,566,844,206,1431,92,34,37,50,54.3,837,2963,1273,36,25,19,75,35,1164,300,"https://fbref.com/en/players/a6154613/Luis-Suarez"
