"","Season","Squad","Comp","Player","Nation","Pos","Age","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","PlayerURL"
"23",NA,"2023 Palmeiras","Série A","García","BRA","DF","21",3.3,134,183,73.2,2514,967,56,62,90.3,61,78,78.2,14,35,40,0,0.1,0.1,-0.1,3,9,2,2,7,"https://fbref.com/en/players/45d071f4/Garcia"
"24",NA,"2023 Palmeiras","Série A","Marcelo Lomba","BRA","GK","36",3,74,102,72.5,1857,1244,18,18,100,38,39,97.4,18,44,40.9,0,0,0,0,1,0,0,0,0,"https://fbref.com/en/players/e4835e3c/Marcelo-Lomba"
"25",NA,"2023 Palmeiras","Série A","Kevin","BRA","FW,DF","20",2.6,54,80,67.5,931,193,30,39,76.9,15,22,68.2,7,11,63.6,0,0.3,0,-0.3,1,6,1,0,8,"https://fbref.com/en/players/93508980/Kevin"
"26",NA,"2023 Palmeiras","Série A","Jailson Siqueira","BRA","MF,DF","27",1.8,45,58,77.6,914,226,10,15,66.7,29,31,93.5,5,6,83.3,1,0.3,0.4,0.7,2,4,0,0,6,"https://fbref.com/en/players/b4819112/Jailson-Siqueira"
"27",NA,"2023 Palmeiras","Série A","Rafael Navarro","BRA","FW","22",1.4,27,35,77.1,371,90,15,17,88.2,12,13,92.3,0,0,NA,0,0.1,0.1,-0.1,2,2,2,0,6,"https://fbref.com/en/players/4b5ab509/Rafael-Navarro"
"28",NA,"2023 Palmeiras","Série A","Bruno Tabata","BRA","MF,FW","25",1.4,51,72,70.8,818,225,29,33,87.9,17,23,73.9,3,8,37.5,0,0.1,0.1,-0.1,1,6,3,0,11,"https://fbref.com/en/players/33fdf90d/Bruno-Tabata"
"29",NA,"2023 Palmeiras","Série A","Ian Custódio","BRA","DF","19",0.2,3,7,42.9,54,26,1,1,100,2,3,66.7,0,1,0,0,0,0,0,0,1,0,0,0,"https://fbref.com/en/players/4d92291e/Ian-Custodio"
"30",NA,"2023 Palmeiras","Série A","Giovani","BRA","FW","19",0.2,4,9,44.4,87,27,2,3,66.7,1,3,33.3,1,2,50,0,0,0,0,0,1,0,0,2,"https://fbref.com/en/players/a199bd5f/Giovani"
"31",NA,"2023 Palmeiras","Série A","Estevão","BRA","FW","16",0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2eda11b1/Estevao"
"32",NA,"2023 Palmeiras","Série A","Eduard Atuesta","COL","MF","25",0.1,2,2,100,23,16,2,2,100,0,0,NA,0,0,NA,0,0,0,0,0,1,0,0,1,"https://fbref.com/en/players/60990b81/Eduard-Atuesta"
"33",NA,"2023 Palmeiras","Série A","Kauan Santos","BRA","FW","18",0,0,1,0,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/472b3ddb/Kauan-Santos"
"34",NA,"2023 Grêmio","","Luis Suárez","URU","FW","36",32,762,1091,69.8,10726,2614,461,605,76.2,209,288,72.6,42,70,60,11,6,6.6,5,52,57,38,2,107,"https://fbref.com/en/players/a6154613/Luis-Suarez"
"35",NA,"2023 Grêmio","","Gabriel Chapecó","BRA","GK","22",31,524,831,63.1,15902,12489,70,73,95.9,220,224,98.2,221,519,42.6,0,0.1,0,-0.1,2,7,0,0,0,"https://fbref.com/en/players/a24714b4/Gabriel-Chapeco"
"36",NA,"2023 Grêmio","","Franco Cristaldo","ARG","MF,FW","26",23.7,975,1283,76,15159,4845,529,614,86.2,306,385,79.5,90,173,52,5,4.5,3.9,0.5,52,104,30,7,131,"https://fbref.com/en/players/25b26e2e/Franco-Cristaldo"
"37",NA,"2023 Grêmio","","Reinaldo","BRA","DF","33",29.8,1227,1689,72.6,22542,10829,523,603,86.7,510,665,76.7,162,318,50.9,5,5.2,6.2,-0.2,56,115,41,15,161,"https://fbref.com/en/players/ab3edc87/Reinaldo"
"38",NA,"2023 Grêmio","","Mathías Villasanti","PAR","MF","26",29.4,1199,1387,86.4,18318,5814,617,674,91.5,465,529,87.9,63,93,67.7,6,3.5,2.2,2.5,26,121,20,1,150,"https://fbref.com/en/players/05b642f7/Mathias-Villasanti"
"39",NA,"2023 Grêmio","","Walter Kannemann","ARG","DF","31",26.2,791,1011,78.2,14032,6644,317,369,85.9,402,472,85.2,58,136,42.6,1,0.2,0.2,0.8,7,59,1,0,81,"https://fbref.com/en/players/5b37f2f8/Walter-Kannemann"
"40",NA,"2023 Grêmio","","Bruno Fabiano Alves","BRA","DF","31",27.2,751,899,83.5,14028,5535,254,279,91,414,468,88.5,70,131,53.4,0,0,0.1,0,1,30,1,1,36,"https://fbref.com/en/players/3e0cfaf4/Bruno-Fabiano-Alves"
"41",NA,"2023 Grêmio","","João Pedro","BRA","DF","26",23.1,821,1065,77.1,12585,5775,453,519,87.3,302,384,78.6,46,107,43,1,1.2,1.1,-0.2,17,79,20,6,113,"https://fbref.com/en/players/31d1ed52/Joao-Pedro"
"42",NA,"2023 Grêmio","","Felipe Carballo","URU","MF","26",17.1,654,814,80.3,10368,3531,328,382,85.9,260,305,85.2,46,70,65.7,1,1.2,1.6,-0.2,12,96,12,0,87,"https://fbref.com/en/players/a9af351a/Felipe-Carballo"
