"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving"
"31","Campeonato Brasileiro Série A","M","BRA",2023,"vs Flamengo","opponent",32,42.6,38,20194,2421,6914,9054,4473,667,20187,777,398,51.2,308,39.6,11281,59848,30212,574,431,128,519,331,12526,1274
"32","Campeonato Brasileiro Série A","M","BRA",2023,"vs Fluminense","opponent",37,38.4,38,18356,2188,5948,7561,5060,795,18350,640,295,46.1,277,43.3,10112,55133,28891,617,494,169,507,266,10821,1149
"33","Campeonato Brasileiro Série A","M","BRA",2023,"vs Fortaleza","opponent",32,53.3,38,22860,2299,6911,11094,5099,663,22853,841,426,50.7,333,39.6,13260,73156,39093,719,530,133,561,338,14871,1434
"34","Campeonato Brasileiro Série A","M","BRA",2023,"vs Goiás","opponent",42,55.4,38,24041,2022,6666,11484,6112,842,24036,730,355,48.6,298,40.8,13941,72917,39349,656,476,152,580,306,15956,1735
"35","Campeonato Brasileiro Série A","M","BRA",2023,"vs Grêmio","opponent",44,53.3,38,23996,2178,6689,11241,6324,831,23991,769,425,55.3,280,36.4,14008,78371,41990,848,713,168,599,328,15638,1653
"36","Campeonato Brasileiro Série A","M","BRA",2023,"vs Internacional","opponent",35,48.4,38,21871,2034,6456,10579,5055,675,21864,750,356,47.5,323,43.1,12636,67074,34244,596,474,95,490,277,14090,1484
"37","Campeonato Brasileiro Série A","M","BRA",2023,"vs Palmeiras","opponent",33,47.3,38,20699,2474,6854,9599,4489,577,20694,739,371,50.2,290,39.2,11509,62710,32644,569,455,110,541,315,13049,1214
"38","Campeonato Brasileiro Série A","M","BRA",2023,"vs Santos","opponent",46,55.5,38,23432,2187,6641,11381,5649,761,23426,820,403,49.1,345,42.1,13513,69183,36824,627,513,118,547,337,15393,1504
"39","Campeonato Brasileiro Série A","M","BRA",2023,"vs São Paulo","opponent",38,40.5,38,18871,2244,6222,8285,4584,625,18862,690,342,49.6,292,42.3,10230,53759,27024,515,364,99,556,250,11259,1206
"40","Campeonato Brasileiro Série A","M","BRA",2023,"vs Vasco da Gama","opponent",39,52,38,22558,2153,6243,10731,5820,754,22554,771,404,52.4,279,36.2,13059,69840,37330,661,526,136,591,330,14567,1615
